Nome,ID,Data Aproximação,Diâmetro Min (km),Diâmetro Max (km),Velocidade Relativa (km/s),Distância Passagem (km),Potencialmente Perigoso
(2024 RR3),54468763,2024-09-07,0.0108982051,0.0243691274,16.6207729891,359172.144045725,False
(2024 RF4),54468778,2024-09-07,0.0216448697,0.0483994001,12.7212514576,6077460.547199689,False
(2024 RH4),54468779,2024-09-07,0.0265555302,0.0593799707,13.6700628448,12339115.147333022,False
(2024 RO4),54468786,2024-09-07,0.0557898221,0.1247498347,15.5057981516,15838646.047694913,False
(2024 RH6),54469026,2024-09-07,0.0051707671,0.0115621867,10.7004162409,214743.179649965,False
(2024 PS13),54469529,2024-09-07,0.0323858259,0.0724169082,6.1194925312,10447183.228502516,False
(2024 RW8),54469537,2024-09-07,0.0144928894,0.0324070858,9.4247953246,964086.345494104,False
(2024 RU12),54470723,2024-09-07,0.0314887178,0.0704109135,16.5766844246,6087163.435128315,False
(2024 RV12),54470724,2024-09-07,0.0165026989,0.0369011566,11.9307652817,1624077.740424004,False
(2024 RW12),54470725,2024-09-07,0.0679446048,0.1519287549,13.8880196339,8340120.1479462,False
(2024 RK15),54471055,2024-09-07,0.035200998,0.0787118244,2.7436946983,38958585.491971987,False
(2024 RE16),54471072,2024-09-07,0.0098029091,0.0219199712,21.9704377746,1280383.710078255,False
(2024 RG16),54471074,2024-09-07,0.0376838249,0.084263594,13.9081474725,19763069.231567969,False
(2013 GX79),3634786,2024-09-01,0.185590173,0.4149922428,17.5664583805,55530169.324373655,False
(2014 KS76),3672909,2024-09-01,0.012605352,0.0281864239,18.3711582792,54973943.814167382,False
(2015 KB19),3719473,2024-09-01,0.1102947845,0.2466266358,11.7314245786,26695466.092518539,True
(2017 QO17),3781020,2024-09-01,0.0766575574,0.1714115092,19.9519920423,70060491.237890839,False
(2020 QD3),54051298,2024-09-01,0.0152951935,0.0342010925,16.749015407,41490746.807427097,False
(2021 JT),54143220,2024-09-01,0.0090480497,0.0202320542,8.1984168325,6261948.470189161,False
(2021 PX4),54179894,2024-09-01,0.0318093633,0.0711278987,7.322503602,37598804.26820908,False
(2021 QP5),54191832,2024-09-01,0.0370301078,0.0828018383,7.7445557618,24028660.425912676,False
(2022 SL49),54312818,2024-09-01,0.0712122941,0.1592355304,11.3396927805,73672529.445394493,False
(2024 FP3),54431988,2024-09-01,0.0160899605,0.0359782453,3.6974123444,45092288.839417089,False
(2021 RZ246),54465621,2024-09-01,0.116400535,0.260279509,2.498745597,47182640.252156983,False
(2024 QK1),54467192,2024-09-01,0.0233859478,0.0522925691,7.8798865386,3188952.886744645,False
(2024 QM1),54467194,2024-09-01,0.0151479888,0.0338719328,12.9354844216,1860968.600491516,False
(2024 QU2),54467978,2024-09-01,0.0437879866,0.0979129147,5.8951817845,32858585.27305599,False
(2024 RK1),54467972,2024-09-01,0.0119441425,0.0267079146,7.5371765126,3168349.325621664,False
(2024 RV3),54468767,2024-09-01,0.0444789961,0.0994580589,25.6623379068,22772921.079983759,False
(2024 RV30),54471951,2024-09-01,0.0097085635,0.021709008,3.8652245253,1071415.4570039,False
(2024 RC31),54471954,2024-09-01,0.0114381286,0.0255764332,8.0024517594,1032409.428058396,False
411165 (2010 DF1),2411165,2024-09-02,0.1015207872,0.2270073813,22.6689517664,33712243.82651984,False
(2007 RX8),3384028,2024-09-02,0.0330031183,0.0737972161,6.9685539831,7172865.997349973,False
(2008 EM),3404527,2024-09-02,0.0310852938,0.0695088301,13.2516150724,22802691.669465026,False
(2010 GP67),3516489,2024-09-02,0.0896509666,0.2004656557,14.2899851659,65057590.934279042,False
(2012 AD3),3592225,2024-09-02,0.3166321257,0.708010957,11.0080573113,17295240.086540439,True
(2012 FO35),3601668,2024-09-02,0.0506471459,0.1132504611,14.5017211499,9183088.73681559,False
(2015 BT515),3709956,2024-09-02,0.2515098375,0.5623930936,19.0168728067,53414932.41067777,False
(2016 BC14),3740897,2024-09-02,0.1692602495,0.3784774237,9.9542327772,45120002.308587986,True
(2016 GB221),3751827,2024-09-02,0.0973991073,0.217791025,19.8681134246,71534475.65512919,False
(2016 RL17),3759008,2024-09-02,0.012839703,0.0287104486,18.3735124805,48467990.147765841,False
(2016 TH56),3760958,2024-09-02,0.096506147,0.2157943048,8.8652109063,66408434.986810918,False
(2018 NX),3825566,2024-09-02,0.0076657557,0.0171411509,7.5055930847,25611807.964707875,False
(2021 SP5),54203037,2024-09-02,0.0132603497,0.0296510433,14.8980349216,47413806.106458104,False
(2022 FR4),54268089,2024-09-02,0.0368599699,0.0824213984,6.7369279148,27707301.99870625,False
(2022 SC6),54306602,2024-09-02,0.0896509666,0.2004656557,26.0203206227,20021204.918988004,False
(2023 FS2),54351256,2024-09-02,0.0692715614,0.1548959201,8.3597617709,35822545.58128336,False
(2023 SX2),54385792,2024-09-02,0.026457876,0.0591616093,5.3799832685,18215655.9863818,False
(2024 JT25),54445200,2024-09-02,0.163137941,0.3647875257,10.2575916459,31264100.384883906,False
(2024 OZ),54465220,2024-09-02,0.2266496103,0.5068039356,17.704084057,25189473.789813923,False
(2024 PB1),54465476,2024-09-02,0.0354940026,0.0793670026,3.7069126611,27260751.219812438,False
(2024 RD1),54467966,2024-09-02,0.0463612329,0.1036668682,12.1894619854,23705560.651702394,False
(2024 RP7),54469036,2024-09-02,0.0023602335,0.0052776426,6.5189165041,316162.726501151,False
