Nome,ID,Data Aproximação,Diâmetro Min (km),Diâmetro Max (km),Velocidade Relativa (km/s),Distância Passagem (km),Potencialmente Perigoso
539856 (2017 EV2),2539856,2005-09-01,0.1740022951,0.38908096,20.5207959369,71032127.668205547,False
(2005 RZ2),3289743,2005-09-01,0.058150704,0.130028927,6.8531347169,16557154.669046558,False
(2012 MY2),3605859,2005-09-01,0.0139493823,0.0311917671,5.5418910812,9278130.627272936,False
(2014 HO129),3669360,2005-09-01,0.3669061375,0.8204270649,26.5926063751,72928426.468539649,False
(2015 GA14),3715907,2005-09-01,0.0253837029,0.0567596853,7.4193854005,19882292.959480187,False
(2021 EU3),54131354,2005-09-01,0.0096506147,0.0215794305,9.3684612151,45657346.383471357,False
(2022 UQ20),54322246,2005-09-01,0.0090480497,0.0202320542,11.8512017274,17539150.527461961,False
620079 (2014 HO129),2620079,2005-09-01,0.3720103103,0.8318403423,26.5926063848,72928426.543338584,False
(2023 QS7),54378891,2005-09-01,0.1480999721,0.331161605,29.6176749716,34558288.626309614,False
(2023 UJ2),54397126,2005-09-01,0.0356906927,0.079806815,10.3663007734,35855329.251383871,False
(2024 EN),54429479,2005-09-01,0.0343997255,0.0769201245,24.6449608119,66834934.475038428,False
(2010 XC15),3553169,2005-09-02,0.1344481952,0.3006353038,9.4699148798,63976682.116123238,True
(2010 YC1),3554963,2005-09-02,0.1515496636,0.3388753497,14.3970210873,40002738.397704744,False
(2014 CA13),3661458,2005-09-02,0.0211132445,0.0472106499,14.9181117621,36648283.158370836,False
(2017 DE),3769411,2005-09-02,0.058150704,0.130028927,21.5001481027,52882967.905119173,False
(2017 MF4),3776073,2005-09-02,0.0506471459,0.1132504611,0.4314392706,36208802.629129603,False
(2021 LL2),54157345,2005-09-02,0.1283970296,0.2871044863,19.6599661131,66136661.134773398,True
(2021 OS),54172000,2005-09-02,0.1038855101,0.2322950625,10.1675734956,38599652.345483374,False
(2021 QO1),54190080,2005-09-02,0.0112345318,0.0251211767,12.4683865293,26005709.418831757,False
(2022 RB2),54301303,2005-09-02,0.008405334,0.0187948982,12.5748548709,2081092.396651345,False
(2024 QV1),54467485,2005-09-02,0.0296315914,0.0662582527,14.6877785954,7262166.501074163,False
22771 (1999 CU3),2022771,2005-09-03,1.0778416872,2.4101272816,12.8146293904,21641468.272761896,False
