Nome,ID,Data Aproximação,Diâmetro Min (km),Diâmetro Max (km),Velocidade Relativa (km/s),Distância Passagem (km),Potencialmente Perigoso
141526 (2002 FA6),2141526,2005-09-03,0.2424124811,0.5420507863,21.5325797446,50590819.213203374,False
488803 (2005 GB120),2488803,2005-09-03,0.2130860292,0.4764748465,14.2881732084,65149314.998296167,False
516986 (2012 QP10),2516986,2005-09-03,0.3361669212,0.7516920875,7.7173851529,65662027.589406807,False
(2005 RV24),3290407,2005-09-03,0.1970402621,0.4405954204,35.1969950867,11197940.991805375,False
(2010 XN),3552689,2005-09-03,0.0389542616,0.087104377,9.6555711407,72728837.747597915,False
(2016 ED),3744994,2005-09-03,0.0483676488,0.1081533507,14.5901031458,70159645.154920449,False
(2016 OY2),3756797,2005-09-03,0.4135756649,0.9247833005,16.2704094375,49881334.170812472,False
(2017 TG5),3785790,2005-09-03,0.0253837029,0.0567596853,12.0883651159,22070586.307146099,False
(2017 XO60),3791343,2005-09-03,0.2016299194,0.4508582062,13.8600687362,62453849.102479538,False
(2018 MN8),3825507,2005-09-03,0.0732073989,0.1636967205,20.7212254083,27549762.665938152,False
(2019 DO),3838835,2005-09-03,0.0211132445,0.0472106499,14.6628062067,16198641.204422443,False
(2019 RC2),3843822,2005-09-03,0.0844413128,0.1888165155,17.3724462214,38612796.148979657,False
(2020 HB3),54016644,2005-09-03,0.0251509837,0.0562393094,13.4626829756,33403534.649333782,False
(2021 DS1),54123625,2005-09-03,0.1772372393,0.3963145151,6.3977649777,64495941.379301244,False
(2021 GV7),54136759,2005-09-03,0.0917392059,0.2051351006,17.6081779531,22560882.540064672,False
(2021 HU),54138704,2005-09-03,0.0232570687,0.0520043867,16.6465430427,34368034.902214602,False
(2021 RZ1),54192210,2005-09-03,0.1515496636,0.3388753497,19.5158118745,71165970.713325432,False
(2022 CL),54244528,2005-09-03,0.0825191939,0.1845185269,13.934973715,25129880.730310073,False
137170 (1999 HF1),2137170,2005-09-04,3.0942469862,6.9189466003,20.5760184023,67421537.717681363,False
(2008 EY84),3406026,2005-09-04,0.0116025908,0.0259441818,5.7877892646,3697832.85522482,False
(2010 CB19),3508109,2005-09-04,0.0334622374,0.0748238376,8.045869446,35484652.328025157,False
(2014 RX22),3689018,2005-09-04,0.0167708462,0.0375007522,13.5306074925,27019182.838264275,False
(2019 TM2),3878579,2005-09-04,0.0384197891,0.0859092601,17.4320600275,74058867.90440159,False
(2021 GN6),54136202,2005-09-04,0.0107784169,0.0241012728,7.4270220216,58607096.998072399,False
(2021 SE),54198201,2005-09-04,0.0158691979,0.0354846053,15.4681896129,58718907.702732507,False
(2022 FF),54262970,2005-09-04,0.0263363131,0.0588897864,20.248373202,49457296.420254321,False
(2000 RE52),3046149,2005-09-05,0.0908981358,0.2032544107,9.6670092615,40696174.849878212,False
(2001 QJ96),3080637,2005-09-05,0.0934447651,0.2089488469,23.6772414157,17362900.016706808,False
(2005 QP11),3288933,2005-09-05,0.0139493823,0.0311917671,5.0034174917,1619890.675560148,False
(2006 SU217),3347493,2005-09-05,0.0231502122,0.0517654482,7.653858995,11096425.537759732,False
(2006 TL),3348144,2005-09-05,0.04411182,0.0986370281,10.0900857896,49328896.897548635,False
(2016 RA34),3759360,2005-09-05,0.0334622374,0.0748238376,13.7889693085,22187713.136674314,False
(2021 JW5),54145085,2005-09-05,0.0190789723,0.0426618789,16.0325796795,61585710.642063074,False
410777 (2009 FD),2410777,2005-09-06,0.0973991073,0.217791025,12.2100941588,49439267.513272975,False
455795 (2005 SF),2455795,2005-09-06,0.453476699,1.0140047252,22.4870221324,26886681.23724468,False
(2005 OG3),3285300,2005-09-06,0.2968622513,0.6638041738,5.6415013054,17700152.602126949,False
(2006 BF),3313220,2005-09-06,0.0506471459,0.1132504611,3.7725019208,61574203.020390555,False
(2006 CT),3321492,2005-09-06,0.0930154254,0.2079888141,5.9625581697,23356512.708066576,False
(2008 OO8),3422249,2005-09-06,0.0242412481,0.0542050786,20.7386750683,65424421.27752602,False
(2010 RD),3545415,2005-09-06,0.022108281,0.0494356193,12.43708698,45671658.875447654,False
(2014 FN38),3666680,2005-09-06,0.0116025908,0.0259441818,12.1783315407,57321078.340145493,False
(2015 DD155),3711174,2005-09-06,0.1053307015,0.2355266087,3.5227805405,38052365.083612796,False
(2015 FB36),3714118,2005-09-06,0.1529519353,0.3420109247,17.6022460169,56067686.229676237,False
(2017 FS91),3772846,2005-09-06,0.0146067964,0.0326617897,6.3203512997,37416029.884101949,False
(2019 JK5),3841838,2005-09-06,0.1447288051,0.3236234466,24.1968913357,59164202.338231503,False
(2022 QX33),54300304,2005-09-06,0.1447288051,0.3236234466,19.3011302718,71289106.42553815,False
(2005 TL),3292344,2005-09-07,0.1529519353,0.3420109247,3.36814062,42439414.938208373,False
(2008 SA),3427440,2005-09-07,0.02658,0.0594346868,13.3836149913,27988442.891454246,False
(2013 KT1),3638577,2005-09-07,0.0127219879,0.0284472297,6.5426613109,37764491.882800551,False
(2013 RZ73),3648203,2005-09-07,0.1677084622,0.3750075218,16.2649902749,31810028.939059996,True
(2014 JJ55),3671126,2005-09-07,0.0231502122,0.0517654482,4.1630536617,34060672.704250024,False
(2017 QO2),3780773,2005-09-07,0.04411182,0.0986370281,13.8523213997,41489321.753077264,False
(2019 RU2),3843831,2005-09-07,0.0366906138,0.0820427065,9.2134681072,33771136.034962527,False
(2019 TL6),3879138,2005-09-07,0.0825191939,0.1845185269,18.8285858731,54383001.91913892,False
(2023 AA1),54338716,2005-09-07,0.0799015081,0.1786652037,6.7165436882,70899273.839001037,False
